,24hr,7d,link,logo,marketcap,name,price,symbol,time
36, 3.90%, 15.34%,/currencies/uma,,377074448,UMA,6.81,UMA,20201031005356page1
37, 0.57%, 11.04%,/currencies/compound,,375741747,Compound,92.65,COMP,20201031005356page1
38, 1.99%, 4.33%,/currencies/ftx-token,,351270005,FTX Token,3.72,FTT,20201031005356page1
39, 1.73%, 17.33%,/currencies/ontology,,347309121,Ontology,0.447683,ONT,20201031005356page1
40, 9.95%, 25.84%,/currencies/aave,,345593738,Aave,30.81,AAVE,20201031005356page1
41, 7.04%, 4.54%,/currencies/waves,,333458919,Waves,3.22,WAVES,20201031005356page1
42, 8.46%, 27.14%,/currencies/yearn-finance,,329115656,yearn.finance,10982.34,YFI,20201031005356page1
43, 0.16%, 2.59%,/currencies/dogecoin,,325916594,Dogecoin,0.002568,DOGE,20201031005356page1
44, 3.36%, 3.02%,/currencies/celsius,,323546152,Celsius,1.35,CEL,20201031005356page1
45, 0.10%, 19.18%,/currencies/synthetix-network-token,,320361509,Synthetix Network Token,3.06,SNX,20201031005356page1
46, 2.15%, 13.30%,/currencies/bittorrent,,287882662,BitTorrent,0.000291,BTT,20201031005356page1
47, 3.72%, 17.08%,/currencies/algorand,,280654105,Algorand,0.257125,ALGO,20201031005356page1
48, 1.11%, 14.53%,/currencies/basic-attention-token,,278630988,Basic Attention Token,0.187457,BAT,20201031005356page1
49, 0.02%, 0.00%,/currencies/husd,,278054744,HUSD,0.999825,HUSD,20201031005356page1
50, 9.37%, 25.78%,/currencies/abbc-coin,,276063159,ABBC Coin,0.394241,ABBC,20201031005356page1
51, 0.65%, 9.75%,/currencies/digibyte,,269477313,DigiByte,0.019671,DGB,20201031005356page1
52, 5.08%, 8.96%,/currencies/kusama,,255882603,Kusama,30.21,KSM,20201031005356page1
53, 7.49%, 4.16%,/currencies/okb,,254713365,OKB,4.25,OKB,20201031005356page1
54, 0.01%, 0.02%,/currencies/trueusd,,254237048,TrueUSD,0.999629,TUSD,20201031005356page1
55, 0.20%, 0.54%,/currencies/paxos-standard,,245285446,Paxos Standard,1,PAX,20201031005356page1
56, 0.36%, 12.45%,/currencies/0x,,244033381,0x,0.328029,ZRX,20201031005356page1
57, 8.95%, 20.55%,/currencies/ren,,235791059,Ren,0.266571,REN,20201031005356page1
58, 7.79%, 14.54%,/currencies/hedgetrade,,206369198,HedgeTrade,0.608343,HEDG,20201031005356page1
59, 2.47%, 17.10%,/currencies/celo,,204666061,Celo,1.64,CELO,20201031005356page1
60, 4.97%, 18.00%,/currencies/ocean-protocol,,191112970,Ocean Protocol,0.461596,OCEAN,20201031005356page1
61, 3.00%, 14.98%,/currencies/qtum,,189584610,Qtum,1.95,QTUM,20201031005356page1
62, 0.63%, 10.22%,/currencies/energy-web-token,,188336677,Energy Web Token,6.26,EWT,20201031005356page1
63, 0.67%, 12.98%,/currencies/icon,,186460528,ICON,0.325964,ICX,20201031005356page1
64, 2.56%, 12.09%,/currencies/zilliqa,,184510099,Zilliqa,0.017442,ZIL,20201031005356page1
65, 0.33%, 8.40%,/currencies/hedera-hashgraph,,172284273,Hedera Hashgraph,0.029653,HBAR,20201031005356page1
66, 0.23%, 13.77%,/currencies/kyber-network,,158602559,Kyber Network,0.799626,KNC,20201031005356page1
67, 2.15%, 2.13%,/currencies/quant,,156409491,Quant,12.96,QNT,20201031005356page1
68, 1.12%, 5.12%,/currencies/decred,,145950987,Decred,11.97,DCR,20201031005356page1
69, 1.53%, 19.42%,/currencies/loopring,,147992610,Loopring,0.129174,LRC,20201031005356page1
70, 0.60%, 5.06%,/currencies/augur,,134239422,Augur,12.2,REP,20201031005356page1
71, 1.89%, 7.46%,/currencies/lisk,,130521078,Lisk,1.03,LSK,20201031005356page1
72, 1.24%, 9.38%,/currencies/bitcoin-gold,,124979551,Bitcoin Gold,7.14,BTG,20201031005356page1
73, 0.38%, 0.35%,/currencies/revain,,122149097,Revain,0.010636,REV,20201031005356page1
74, 4.50%, 6.45%,/currencies/aragon,,121381233,Aragon,3.06,ANT,20201031005356page1
75, 0.49%, 3.36%,/currencies/cybervein,,119542701,CyberVein,0.112733,CVT,20201031005356page1
76, 0.66%, 3.78%,/currencies/zb-token,,117936771,ZB Token,0.254564,ZB,20201031005356page1
77, 0.71%, 3.42%,/currencies/terra-luna,,117653251,Terra,0.304374,LUNA,20201031005356page1
78, 4.08%, 24.58%,/currencies/nxm,,115282732,NXM,21.68,NXM,20201031005356page1
79, 1.12%, 7.25%,/currencies/siacoin,,113807861,Siacoin,0.00253,SC,20201031005356page1
80, 1.70%, 12.93%,/currencies/near-protocol,,111830596,NEAR Protocol,0.639483,NEAR,20201031005356page1
81, 4.74%, 17.65%,/currencies/reserve-rights,,109916131,Reserve Rights,0.011756,RSR,20201031005356page1
82, 1.48%, 12.83%,/currencies/the-midas-touch-gold,,109948845,The Midas Touch Gold,0.017498,TMTG,20201031005356page1
83, 18.53%, 4.58%,/currencies/blockstack,,108664011,Blockstack,0.166589,STX,20201031005356page1
84, 1.23%, 13.57%,/currencies/enjin-coin,,105236635,Enjin Coin,0.127849,ENJ,20201031005356page1
85, 4.26%, 12.66%,/currencies/elrond-egld,,103966792,Elrond,7.58,EGLD,20201031005356page1
86, 0.45%, 6.73%,/currencies/ampleforth,,103557803,Ampleforth,0.95839,AMPL,20201031005356page1
87, 3.87%, 14.46%,/currencies/nano,,97471198,Nano,0.731501,NANO,20201031005356page1
88, 4.24%, 14.90%,/currencies/nexo,,94057553,Nexo,0.16796,NEXO,20201031005356page1
89, 0.23%, 14.49%,/currencies/decentraland,,94854283,Decentraland,0.063915,MANA,20201031005356page1
90, 0.22%, 15.66%,/currencies/avalanche,,88865269,Avalanche,3.63,AVAX,20201031005356page1
91, 1.60%, 27.17%,/currencies/band-protocol,,88454033,Band Protocol,4.32,BAND,20201031005356page1
92, 0.14%, 7.79%,/currencies/sushiswap,,87226083,SushiSwap,0.609486,SUSHI,20201031005356page1
93, 6.22%, 13.37%,/currencies/bitcoin-diamond,,86559215,Bitcoin Diamond,0.464142,BCD,20201031005356page1
94, 0.75%, 9.17%,/currencies/numeraire,,85448272,Numeraire,24.07,NMR,20201031005356page1
95, 5.57%, 10.99%,/currencies/velas,,83820675,Velas,0.039807,VLX,20201031005356page1
96, 2.56%, 5.93%,/currencies/monacoin,,82692755,MonaCoin,1.26,MONA,20201031005356page1
97, 0.33%, 11.54%,/currencies/ravencoin,,81775125,Ravencoin,0.011095,RVN,20201031005356page1
98, 0.13%, 12.48%,/currencies/orchid,,78706885,Orchid,0.214119,OXT,20201031005356page1
99, 1.36%, 9.23%,/currencies/nervos-network,,77980155,Nervos Network,0.003675,CKB,20201031005356page1
100, 2.02%, 16.08%,/currencies/golem-network-tokens,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/1455.png""/>",78558967,Golem,0.079299,GNT,20201031005412page2
101, 3.09%, 11.73%,/currencies/bytom,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/1866.png""/>",77066630,Bytom,0.055706,BTM,20201031005412page2
102, 14.98%, 17.98%,/currencies/divi,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/3441.png""/>",77153697,Divi,0.039092,DIVI,20201031005412page2
103, 0.01%, 11.16%,/currencies/holo,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/2682.png""/>",76796644,Holo,0.000461,HOT,20201031005412page2
104, 2.02%, 10.58%,/currencies/iostoken,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/2405.png""/>",74451218,IOST,0.004885,IOST,20201031005412page2
105, 2.70%, 12.37%,/currencies/status,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/1759.png""/>",72881823,Status,0.021,SNT,20201031005412page2
106, 6.85%, 26.88%,/currencies/arweave,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/5632.png""/>",72200733,Arweave,2.16,AR,20201031005412page2
107, 0.18%, 0.84%,/currencies/pax-gold,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/4705.png""/>",70993948,PAX Gold,1895.34,PAXG,20201031005412page2
108, 1.46%, 8.62%,/currencies/iotex,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/2777.png""/>",70988481,IoTeX,0.007293,IOTX,20201031005412page2
109, 1.14%, 18.95%,/currencies/balancer,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/5728.png""/>",70599978,Balancer,10.17,BAL,20201031005412page2
110, 11.36%, 0.82%,/currencies/bitcoin-bep2,,70162078,Bitcoin BEP2,14029.17,BTCB,20201031005412page2
111, 0.11%, 6.20%,/currencies/kucoin-shares,,68666673,KuCoin Shares,0.850589,KCS,20201031005412page2
112, 5.01%, 23.85%,/currencies/solana,,67680738,Solana,1.48,SOL,20201031005412page2
113, 0.34%, 2.71%,/currencies/uquid-coin,,65887212,Uquid Coin,6.59,UQC,20201031005412page2
114, 1.80%, 24.57%,/currencies/swipe,,65268125,Swipe,0.850211,SXP,20201031005412page2
115, 8.10%, 17.60%,/currencies/thorchain,,65248773,THORChain,0.411841,RUNE,20201031005412page2
116, 0.65%, 15.21%,/currencies/storj,,63406144,Storj,0.318936,STORJ,20201031005412page2
117, 1.80%, 8.40%,/currencies/swissborg,,62798370,SwissBorg,0.068005,CHSB,20201031005412page2
118, 6.82%, 13.73%,/currencies/rlc,,61427085,iExec RLC,0.76716,RLC,20201031005412page2
119, 2.54%, 21.18%,/currencies/verge,,60054017,Verge,0.003666,XVG,20201031005412page2
120, 4.15%, 4.10%,/currencies/rsk-infrastructure-framework,,60325999,RSK Infrastructure Framework,0.09195,RIF,20201031005412page2
121, 1.61%, 19.39%,/currencies/matic-network,,59005325,Matic Network,0.013794,MATIC,20201031005412page2
122, 1.36%, 8.17%,/currencies/steem,,57422178,Steem,0.146586,STEEM,20201031005412page2
123, 1.90%, 3.81%,/currencies/energi,,56810081,Energi,1.65,NRG,20201031005412page2
124, 1.19%, 6.57%,/currencies/horizen,,55631924,Horizen,5.42,ZEN,20201031005412page2
125, 12.73%, 9.32%,/currencies/gnosis-gno,,54096361,Gnosis,48.97,GNO,20201031005412page2
126, 5.56%, 15.39%,/currencies/komodo,,54089909,Komodo,0.441548,KMD,20201031005412page2
127, 14.32%, 28.84%,/currencies/yearn-finance-ii,,52490857,DFI.Money,1360.01,YFII,20201031005412page2
128, 8.49%, 19.07%,/currencies/kava,,51757162,Kava.io,1.55,KAVA,20201031005412page2
129, 1.39%, 12.62%,/currencies/bitshares,,50443537,BitShares,0.016829,BTS,20201031005412page2
130, 7.68%, 14.30%,/currencies/just,,49333684,JUST,0.021826,JST,20201031005412page2
131, 0.60%, 9.77%,/currencies/wax,,48703617,WAX,0.034904,WAXP,20201031005412page2
132, 2.34%, 10.09%,/currencies/serum,,48832272,Serum,0.976645,SRM,20201031005412page2
133, 2.59%, 14.19%,/currencies/unibright,,48372475,Unibright,0.325084,UBT,20201031005412page2
134, 2.59%, 0.45%,/currencies/maidsafecoin,,47228651,MaidSafeCoin,0.104361,MAID,20201031005412page2
135, 2.28%, 13.56%,/currencies/ardor,,47038821,Ardor,0.047086,ARDR,20201031005412page2
136, 4.31%, 11.38%,/currencies/aelf,,46124920,aelf,0.084714,ELF,20201031005412page2
137, 1.51%, 12.37%,/currencies/chiliz,,46211249,Chiliz,0.009391,CHZ,20201031005412page2
138, 1.34%, 9.07%,/currencies/theta-fuel,,45882735,Theta Fuel,0.009246,TFUEL,20201031005412page2
139, 6.58%, 20.62%,/currencies/hive-blockchain,,45635784,Hive,0.111023,HIVE,20201031005412page2
140, 0.90%, 13.39%,/currencies/electroneum,,44023902,Electroneum,0.004314,ETN,20201031005412page2
141, 2.11%, 21.93%,/currencies/helium,,43468726,Helium,0.827418,HNT,20201031005412page2
142, 0.95%, 17.34%,/currencies/tomochain,,42895562,TomoChain,0.565343,TOMO,20201031005412page2
143, 7.58%, 13.57%,/currencies/irisnet,,42790037,IRISnet,0.049838,IRIS,20201031005412page2
144, 3.36%, 2.56%,/currencies/wanchain,,42493946,Wanchain,0.251816,WAN,20201031005412page2
145, 5.54%, 9.33%,/currencies/sun,,42569889,SUN,9.29,SUN,20201031005412page2
146, 3.58%, 8.95%,/currencies/hxro,,42234971,Hxro,0.232078,HXRO,20201031005412page2
147, 5.92%, 28.79%,/currencies/ankr,,42190443,Ankr,0.007237,ANKR,20201031005412page2
148, 3.83%, 6.25%,/currencies/curve-dao-token,,41691222,Curve DAO Token,0.400052,CRV,20201031005412page2
149, 0.30%, 15.40%,/currencies/hypercash,,41411441,HyperCash,0.923194,HC,20201031005412page2
150, 5.78%, 36.32%,/currencies/bancor,,40539059,Bancor,0.583984,BNT,20201031005412page2
151, 3.36%, 11.21%,/currencies/utrust,,40188049,Utrust,0.089307,UTK,20201031005412page2
152, 4.22%, 12.06%,/currencies/quarkchain,,39846480,QuarkChain,0.004383,QKC,20201031005412page2
153, 1.11%, 7.99%,/currencies/stratis,,39087799,Stratis,0.390817,STRAT,20201031005412page2
154, 11.88%, 26.87%,/currencies/fantom,,38040696,Fantom,0.017857,FTM,20201031005412page2
155, 0.28%, 0.80%,/currencies/stasis-euro,,36798571,STASIS EURO,1.15,EURS,20201031005412page2
156, 0.40%, 5.24%,/currencies/pundi-x,,36360170,Pundi X,0.000155,NPXS,20201031005412page2
157, 4.18%, 11.60%,/currencies/sharetoken,,36268379,ShareToken,0.01791,SHR,20201031005412page2
158, 10.87%, 26.73%,/currencies/flexacoin,,35664052,Flexacoin,0.004903,FXC,20201031005412page2
159, 4.22%, 21.78%,/currencies/zcoin,,36033219,Zcoin,3.23,XZC,20201031005412page2
160, 11.01%, 14.49%,/currencies/crypto-com,,35597053,MCO,2.25,MCO,20201031005412page2
161, 3.59%, 9.30%,/currencies/gatetoken,,35557820,GateToken,0.463517,GT,20201031005412page2
162, 4.74%, 12.17%,/currencies/ark,,35273393,Ark,0.282574,ARK,20201031005412page2
163, 1.90%, 2.54%,/currencies/voyager-token,,34611945,Voyager Token,0.155703,VGX,20201031005412page2
164, 3.65%, 9.37%,/currencies/solve,,34359924,SOLVE,0.091468,SOLVE,20201031005412page2
165, 3.32%, 15.74%,/currencies/fetch,,34257997,Fetch.ai,0.045915,FET,20201031005412page2
166, 9.69%, 26.32%,/currencies/redd,,34121493,ReddCoin,0.001184,RDD,20201031005412page2
167, 9.16%, 20.42%,/currencies/kin,,31651531,Kin,0.000021,KIN,20201031005412page2
168, 12.93%, 13.94%,/currencies/tellor,,33073290,Tellor,21.7,TRB,20201031005412page2
169, 3.60%, 8.33%,/currencies/v-systems,,32102085,v.systems,0.015113,VSYS,20201031005412page2
170, 0.81%, 10.02%,/currencies/waykichain,,31833397,WaykiChain,0.168431,WICC,20201031005412page2
171, 1.52%, 9.03%,/currencies/dia,,31873920,DIA,1.13,DIA,20201031005412page2
172, 2.22%, 12.27%,/currencies/power-ledger,,31799853,Power Ledger,0.074988,POWR,20201031005412page2
173, 6.27%, 9.09%,/currencies/singularitynet,,30628039,SingularityNET,0.03631,AGI,20201031005412page2
174, 2.31%, 14.82%,/currencies/aeternity,,30625487,Aeternity,0.094548,AE,20201031005412page2
175, 27.91%, 51.98%,/currencies/apm-coin,,30415166,apM Coin,0.084049,APM,20201031005412page2
176, 12.62%, 30.20%,/currencies/xdai,,30361872,xDai,9.79,STAKE,20201031005412page2
177, 1.22%, 12.55%,/currencies/melon,,30379571,Melon,20.36,MLN,20201031005412page2
178, 0.06%, 4.96%,/currencies/super-zero-protocol,,29199470,Super Zero Protocol,0.098782,SERO,20201031005412page2
179, 2.15%, 19.92%,/currencies/aion,,28190277,Aion,0.060207,AION,20201031005412page2
180, 9.19%, 8.06%,/currencies/digitex-futures,,28140083,Digitex Futures,0.030224,DGTX,20201031005412page2
181, 5.07%, 25.09%,/currencies/kleros,,27819436,Kleros,0.050253,PNK,20201031005412page2
182, 0.06%, 20.34%,/currencies/handshake,,27696932,Handshake ,0.087047,HNS,20201031005412page2
183, 1.01%, 0.32%,/currencies/wirex-token,,26734259,Wirex Token,0.00891,WXT,20201031005412page2
184, 1.96%, 5.97%,/currencies/thunder-token,,26551526,Thunder Token,0.00451,TT,20201031005412page2
185, 1.63%, 16.91%,/currencies/orbs,,26378860,Orbs,0.011829,ORBS,20201031005412page2
186, 2.09%, 14.36%,/currencies/harmony,,26419748,Harmony,0.004223,ONE,20201031005412page2
187, 8.02%, 38.16%,/currencies/origintrail,,26221504,OriginTrail,0.082011,TRAC,20201031005412page2
188, 26.94%, 18.36%,/currencies/mxc,,25859085,MXC,0.010098,MXC,20201031005412page2
189, 4.32%, 12.76%,/currencies/streamr,,25751311,Streamr,0.037195,DATA,20201031005412page2
190, 2.78%, 7.03%,/currencies/haven-protocol,,25516702,Haven Protocol,1.85,XHV,20201031005412page2
191, 2.04%, 14.70%,/currencies/gxchain,,25458918,GXChain,0.363699,GXC,20201031005412page2
192, 1.70%, 10.72%,/currencies/elastos,,25295747,Elastos,1.47,ELA,20201031005412page2
193, 50.32%, 28.30%,/currencies/travala,,25116419,Travala.com,0.599521,AVA,20201031005412page2
194, 10.35%, 5.09%,/currencies/ultra,,25090022,Ultra,0.08882,UOS,20201031005412page2
195, 1.63%, 2.15%,/currencies/wink-tronbet,,25009588,WINk,0.00008,WIN,20201031005412page2
196, 4.60%, 0.47%,/currencies/syscoin,,24720243,Syscoin,0.041294,SYS,20201031005412page2
197, 5.60%, 102.29%,/currencies/nexalt,,24666032,Nexalt,1.27,XLT,20201031005412page2
198, 1.37%, 7.09%,/currencies/mx-token,,24253220,MX Token,0.155797,MX,20201031005412page2
199, 2.04%, 4.16%,/currencies/bosagora,,23970021,BOSAGORA,0.084964,BOA,20201031005412page2
200, 41.45%, 87.51%,/currencies/hex,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/5015.png""/>",4978258909,HEX,0.012769,HEX,20201031005427page3
201, 22.39%, 573.75%,/currencies/ize,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/5677.png""/>",2067175049,IZE,0.496812,IZE,20201031005427page3
202, 10.68%, 37.84%,/currencies/counos-x,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/5482.png""/>",926414397,Counos X,52.24,CCXX,20201031005427page3
203, 4.19%, 10.59%,/currencies/eterbase-utility-token,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/3815.png""/>",820798528,Eterbase Utility Token,0.820799,XBASE,20201031005427page3
204, 2.14%, 6.34%,/currencies/ino-coin,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/3085.png""/>",535697266,INO COIN,2.98,INO,20201031005427page3
205, 6.44%, 38.27%,/currencies/bitcoinpos,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/5815.png""/>",475647913,BitcoinPoS,126.64,BPS,20201031005427page3
206, 1.57%, 4.53%,/currencies/insight-chain,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/3116.png""/>",423287491,Insight Chain,1.21,INB,20201031005427page3
207, 0.05%, 3.15%,/currencies/homeros,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/5336.png""/>",333357052,Homeros,0.899211,HMR,20201031005427page3
208, 1.19%, 5.16%,/currencies/renbtc,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/5777.png""/>",297363843,renBTC,13616.44,RENBTC,20201031005427page3
209, 2.23%, 3.28%,/currencies/zelwin,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/5614.png""/>",282342676,Zelwin,5.45,ZLW,20201031005427page3
210, 1.71%, 7.99%,/currencies/creditcoin,,271799413,Creditcoin,0.492183,CTC,20201031005427page3
211, 9.79%, 0.96%,/currencies/cipher-core-token,,268199186,Cipher Core Token,36.09,CIPHC,20201031005427page3
212, 0.04%, 2.41%,/currencies/tnc-coin,,247025018,TNC Coin,0.106918,TNC,20201031005427page3
213, 0.10%, 1.93%,/currencies/basid-coin,,240284085,Basid Coin,0.670172,BASID,20201031005427page3
214, 0.29%, 4.03%,/currencies/thorecoin,,227765684,ThoreCoin,2627.48,THR,20201031005427page3
215, 1.04%, 0.95%,/currencies/poseidon-network,,201540925,Poseidon Network,0.093615,QQQ,20201031005427page3
216, 20.10%, 1.50%,/currencies/metacoin,,164510423,Metacoin,0.160156,MTC,20201031005427page3
217, 1.20%, 2.92%,/currencies/largo-coin,,168023812,Largo Coin,9.82,LRG,20201031005427page3
218, 1.70%, 7.64%,/currencies/stpay,,164509262,STPAY,37.99,STP,20201031005427page3
219, 2.83%, 5.24%,/currencies/botxcoin,,158420810,botXcoin,0.097065,BOTX,20201031005427page3
220, 13.86%, 12.19%,/currencies/doctors-coin,,155050675,Doctors Coin,0.674892,DRS,20201031005427page3
221, 1.76%, 6.64%,/currencies/sologenic,,122676993,Sologenic,0.613379,SOLO,20201031005427page3
222, 50.26%, 53.94%,/currencies/helper-search-token,,115689305,Helper Search Token,0.013643,HSN,20201031005427page3
223, 5.88%, 6.51%,/currencies/idea-chain-coin,,103204068,Idea Chain Coin,2.01,ICH,20201031005427page3
224, 0.17%, 0.48%,/currencies/cryptonex,,100804399,Cryptonex,1.81,CNX,20201031005427page3
225, 0.39%, 11.34%,/currencies/beldex,,88441222,Beldex,0.090226,BDX,20201031005427page3
226, 4.91%, 16.51%,/currencies/vitae,,87645041,Vitae,4.5,VITAE,20201031005427page3
227, 10.75%, 21.99%,/currencies/mindol,,86720278,MINDOL,0.507969,MIN,20201031005427page3
228, 10.43%, 39.38%,/currencies/strong,,85497335,Strong,18.15,STRONG,20201031005427page3
229, 0.50%, 8.68%,/currencies/dxchain-token,,80586590,DxChain Token,0.001612,DX,20201031005427page3
230, 0.83%, 0.76%,/currencies/terra-krw,,79879962,TerraKRW,0.000872,KRT,20201031005427page3
231, 0.23%, 1.55%,/currencies/defichain,,77713059,DeFiChain,0.20567,DFI,20201031005427page3
232, 2.87%, 13.18%,/currencies/xinfin-network,,76495946,XinFin Network,0.006271,XDC,20201031005427page3
233, 0.34%, 0.16%,/currencies/whitecoin,,72653272,WhiteCoin,0.2904,XWC,20201031005427page3
234, 3.96%, 16.69%,/currencies/counos-coin,,72030458,Counos Coin,4.85,CCA,20201031005427page3
235, 0.39%, 22.37%,/currencies/nest-protocol,,72715570,NEST Protocol,0.041581,NEST,20201031005427page3
236, 0.92%, 6.64%,/currencies/newyork-exchange,,70626776,NewYork Exchange,9.96,NYE,20201031005427page3
237, 5.18%, 93.24%,/currencies/everus,,76440330,Everus,0.164114,EVR,20201031005427page3
238, 0.88%, 7.57%,/currencies/mixin,,69605918,Mixin,133.06,XIN,20201031005427page3
